Age_Category,Gender,License,Coverage,Earned_Premium_Income,Exposure,Total_Paid,Estimated_Cost,Cost,No_of_Claims,No_of_Large_Claims,Dev_Year,Year,DevYear
17 to 20,Female,Full,ThirdPartyFireTheft,2195319.7,2467.751829,923062,1376700,2299762,124,4,3,2015,2013@2015
17 to 20,Female,Provisional,ThirdPartyFireTheft,3400191.8,2550.582458,949712,584443,1534155,137,2,3,2015,2013@2015
17 to 20,Male,Full,ThirdPartyFireTheft,3958223.5,3605.555413,1199604,1130995,2330599,195,5,3,2015,2013@2015
17 to 20,Male,Provisional,ThirdPartyFireTheft,1935637.8,1274.945585,713309,1223688,1936997,84,2,3,2015,2013@2015
21 to 24,Female,Full,ThirdPartyFireTheft,6065193.3,9862.927525,1894633,1434038,3328671,462,7,3,2015,2013@2015
21 to 24,Female,Provisional,ThirdPartyFireTheft,5258657,5458.243911,1818217,1154924,2973141,356,3,3,2015,2013@2015
21 to 24,Male,Full,ThirdPartyFireTheft,11299583,15133.54074,6840604,3938978,10779582,689,21,3,2015,2013@2015
21 to 24,Male,Provisional,ThirdPartyFireTheft,3395658.8,2969.642441,1869554,962615,2832169,208,8,3,2015,2013@2015
25 to 30,Female,Full,ThirdPartyFireTheft,7476187.4,16335.27508,3085388,2532762,5618150,672,8,3,2015,2013@2015
25 to 30,Female,Provisional,ThirdPartyFireTheft,4370320.5,5950.388648,2086242,1516888,3603130,338,9,3,2015,2013@2015
25 to 30,Male,Full,ThirdPartyFireTheft,13310919.9,24285.31502,5694466,4676411,10370877,1020,21,3,2015,2013@2015
25 to 30,Male,Provisional,ThirdPartyFireTheft,4307232.7,4774.579744,2103239,1823134,3926373,314,8,3,2015,2013@2015
31 to 50,Female,Full,ThirdPartyFireTheft,14744632.2,35025.59485,6372195,4908401,11280596,1362,24,3,2015,2013@2015
31 to 50,Female,Provisional,ThirdPartyFireTheft,4555183.8,7694.563845,1867477,1844271,3711748,427,8,3,2015,2013@2015
31 to 50,Male,Full,ThirdPartyFireTheft,26668875.5,61198.16269,13882916,11817166,25700082,2265,49,3,2015,2013@2015
31 to 50,Male,Provisional,ThirdPartyFireTheft,4663124.1,6926.274164,2306748,1419415,3726163,360,6,3,2015,2013@2015
51 to 70,Female,Full,ThirdPartyFireTheft,6938539.1,17091.05746,1902341,1037066,2939407,431,7,3,2015,2013@2015
51 to 70,Female,Provisional,ThirdPartyFireTheft,1117261.7,2395.076953,155214,189059,344273,75,0,3,2015,2013@2015
51 to 70,Male,Full,ThirdPartyFireTheft,14074991.9,34929.665,5738726,8237443,13976169,931,15,3,2015,2013@2015
51 to 70,Male,Provisional,ThirdPartyFireTheft,1002638.4,1868.598703,308719,132421,441140,58,0,3,2015,2013@2015
over 70,Female,Full,ThirdPartyFireTheft,2175508.2,5501.897073,516929,384821,901750,130,2,3,2015,2013@2015
over 70,Female,Provisional,ThirdPartyFireTheft,190058.5,366.929024,39154,0,39154,12,0,3,2015,2013@2015
over 70,Male,Full,ThirdPartyFireTheft,5504027.2,13217.69909,1962120,5187808,7149928,373,8,3,2015,2013@2015
over 70,Male,Provisional,ThirdPartyFireTheft,164347.9,289.920811,10497,105983,116480,9,1,3,2015,2013@2015
17 to 20,Female,Full,ThirdPartyOnly,61288.1,79.975421,5209,0,5209,7,0,3,2015,2013@2015
17 to 20,Female,Provisional,ThirdPartyOnly,95177.7,71.046455,40302,0,40302,6,0,3,2015,2013@2015
17 to 20,Male,Full,ThirdPartyOnly,149791.5,152.669418,21814,7000,28814,8,0,3,2015,2013@2015
17 to 20,Male,Provisional,ThirdPartyOnly,100992.3,54.846992,208718,181368,390086,8,2,3,2015,2013@2015
21 to 24,Female,Full,ThirdPartyOnly,202802.7,326.439931,188272,143500,331772,16,2,3,2015,2013@2015
21 to 24,Female,Provisional,ThirdPartyOnly,131541.5,118.915305,32302,938,33240,9,0,3,2015,2013@2015
21 to 24,Male,Full,ThirdPartyOnly,482781.1,684.4755,303029,548354,851383,34,3,3,2015,2013@2015
21 to 24,Male,Provisional,ThirdPartyOnly,160849.9,127.103836,206230,172570,378800,11,2,3,2015,2013@2015
25 to 30,Female,Full,ThirdPartyOnly,299908.3,681.871684,85378,0,85378,18,0,3,2015,2013@2015
25 to 30,Female,Provisional,ThirdPartyOnly,132302.9,142.70766,57107,0,57107,9,0,3,2015,2013@2015
25 to 30,Male,Full,ThirdPartyOnly,793973,1579.860841,459858,155500,615358,81,0,3,2015,2013@2015
25 to 30,Male,Provisional,ThirdPartyOnly,187422.1,182.043738,198380,52900,251280,19,0,3,2015,2013@2015
31 to 50,Female,Full,ThirdPartyOnly,803574.7,2305.563262,605597,401760,1007357,70,3,3,2015,2013@2015
31 to 50,Female,Provisional,ThirdPartyOnly,147614.2,218.136639,20499,0,20499,9,0,3,2015,2013@2015
31 to 50,Male,Full,ThirdPartyOnly,2248058.5,6206.501084,1121846,574777,1696623,153,3,3,2015,2013@2015
31 to 50,Male,Provisional,ThirdPartyOnly,200284.9,283.622984,94162,168321,262483,13,0,3,2015,2013@2015
51 to 70,Female,Full,ThirdPartyOnly,422156.1,1238.505713,129324,672271,801595,21,2,3,2015,2013@2015
51 to 70,Female,Provisional,ThirdPartyOnly,31997.1,67.112034,0,0,0,0,0,3,2015,2013@2015
51 to 70,Male,Full,ThirdPartyOnly,1592107.7,4222.309622,639178,696327,1335505,75,2,3,2015,2013@2015
51 to 70,Male,Provisional,ThirdPartyOnly,89109,164.103863,4083,0,4083,4,0,3,2015,2013@2015
over 70,Female,Full,ThirdPartyOnly,158012.5,410.284236,193139,181544,374683,13,2,3,2015,2013@2015
over 70,Female,Provisional,ThirdPartyOnly,12733.7,24.620224,0,0,0,0,0,3,2015,2013@2015
over 70,Male,Full,ThirdPartyOnly,570722.9,1418.686076,353026,324252,677278,58,3,3,2015,2013@2015
over 70,Male,Provisional,ThirdPartyOnly,15134.1,21.959021,0,0,0,0,0,3,2015,2013@2015
17 to 20,Female,Full,All,4033651.2,3886.844976,733320,2033121,2766441,185,3,2,2015,2014@2015
17 to 20,Female,Provisional,All,3899564.7,2485.790066,568290,909329,1477619,150,3,2,2015,2014@2015
17 to 20,Male,Full,All,5637709.7,4772.987126,1573192,1840912,3414104,303,5,2,2015,2014@2015
17 to 20,Male,Provisional,All,3715708,2099.060383,894419,939761,1834180,183,3,2,2015,2014@2015
21 to 24,Female,Full,All,20723263.2,29790.03163,6009165,5798293,11807458,1574,13,2,2015,2014@2015
21 to 24,Female,Provisional,All,10683546.1,9918.897642,2158148,1972832,4130980,592,2,2,2015,2014@2015
21 to 24,Male,Full,All,22841695.7,28594.1654,7616215,9486814,17103029,1554,30,2,2015,2014@2015
21 to 24,Male,Provisional,All,6907676.5,5634.402294,1896961,3719627,5616588,461,9,2,2015,2014@2015
25 to 30,Female,Full,All,47571627.9,94294.05679,16157160,18354209,34511369,5129,38,2,2015,2014@2015
25 to 30,Female,Provisional,All,11624779.6,14051.93079,2895064,3683423,6578487,936,11,2,2015,2014@2015
25 to 30,Male,Full,All,41955138.4,71297.89226,16325651,28838598,45164249,3909,63,2,2015,2014@2015
25 to 30,Male,Provisional,All,8367414.9,8454.845284,2250441,2719603,4970044,680,8,2,2015,2014@2015
31 to 50,Female,Full,All,182099359.6,430894.9035,63942273,71053952,134996225,23017,160,2,2015,2014@2015
31 to 50,Female,Provisional,All,16539421.1,25557.96002,4708530,6848941,11557471,1708,13,2,2015,2014@2015
31 to 50,Male,Full,All,160263783.9,353146.7244,62802926,59527065,122329991,18568,169,2,2015,2014@2015
31 to 50,Male,Provisional,All,11025102.9,14552.94477,3424463,4648324,8072787,1012,11,2,2015,2014@2015
51 to 70,Female,Full,All,103404214.7,256024.7941,32063544,30397914,62461458,11610,80,2,2015,2014@2015
51 to 70,Female,Provisional,All,4562654.5,8786.84598,1058436,920415,1978851,389,1,2,2015,2014@2015
51 to 70,Male,Full,All,117013441.5,278659.7875,34770211,33092022,67862233,11582,83,2,2015,2014@2015
51 to 70,Male,Provisional,All,2477256.5,4212.678498,964394,1033457,1997851,216,3,2,2015,2014@2015
over 70,Female,Full,All,25029341.8,55516.53422,8336935,7398240,15735175,2593,17,2,2015,2014@2015
over 70,Female,Provisional,All,703104.9,1214.128628,81955,98892,180847,46,0,2,2015,2014@2015
over 70,Male,Full,All,41029352.7,87089.59694,13907668,16946463,30854131,4076,38,2,2015,2014@2015
over 70,Male,Provisional,All,381182.1,599.470064,64525,0,64525,19,0,2,2015,2014@2015
17 to 20,Female,Full,Comprehensive,2307737.1,2131.279078,467697,1331006,1798703,111,2,2,2015,2014@2015
17 to 20,Female,Provisional,Comprehensive,1770319.5,1063.54117,325204,154811,480015,66,0,2,2015,2014@2015
17 to 20,Male,Full,Comprehensive,2463517.5,2021.0659,886327,549516,1435843,158,1,2,2015,2014@2015
17 to 20,Male,Provisional,Comprehensive,1272018.1,702.666774,175498,105166,280664,60,0,2,2015,2014@2015
21 to 24,Female,Full,Comprehensive,13686035.7,19334.58199,4301269,3968297,8269566,1138,9,2,2015,2014@2015
21 to 24,Female,Provisional,Comprehensive,4862597.5,4490.825869,812536,718936,1531472,279,1,2,2015,2014@2015
21 to 24,Male,Full,Comprehensive,11263038,13731.88173,4499259,5601264,10100523,875,19,2,2015,2014@2015
21 to 24,Male,Provisional,Comprehensive,2247375.8,1851.789839,680245,874539,1554784,162,2,2,2015,2014@2015
25 to 30,Female,Full,Comprehensive,38954257.6,77310.14197,13966696,15651144,29617840,4407,34,2,2015,2014@2015
25 to 30,Female,Provisional,Comprehensive,6378345.7,7807.167759,1696762,2182551,3879313,588,4,2,2015,2014@2015
25 to 30,Male,Full,Comprehensive,28232409.3,47702.18692,11533574,20001644,31535218,2911,39,2,2015,2014@2015
25 to 30,Male,Provisional,Comprehensive,3254519.2,3417.642543,802463,1191767,1994230,333,4,2,2015,2014@2015
31 to 50,Female,Full,Comprehensive,164628765.8,391209.9714,59427193,63751949,123179142,21605,146,2,2015,2014@2015
31 to 50,Female,Provisional,Comprehensive,11208249.5,17604.24305,3482124,5082921,8565045,1301,6,2,2015,2014@2015
31 to 50,Male,Full,Comprehensive,130658448.4,287880.4307,54004918,46483495,100488413,16384,133,2,2015,2014@2015
31 to 50,Male,Provisional,Comprehensive,5947146.4,8119.383786,2131036,2560691,4691727,683,5,2,2015,2014@2015
51 to 70,Female,Full,Comprehensive,95227238.4,236426.482,30407823,27791404,58199227,11115,71,2,2015,2014@2015
51 to 70,Female,Provisional,Comprehensive,3411571.2,6454.818224,805141,474335,1279476,306,0,2,2015,2014@2015
51 to 70,Male,Full,Comprehensive,101020255,240121.3546,30496002,26043728,56539730,10628,65,2,2015,2014@2015
51 to 70,Male,Provisional,Comprehensive,1474266.7,2448.055199,832534,628176,1460710,167,2,2,2015,2014@2015
over 70,Female,Full,Comprehensive,22421629.4,49178.22436,7641138,6074251,13715389,2391,13,2,2015,2014@2015
over 70,Female,Provisional,Comprehensive,491998.5,827.205063,74225,98892,173117,39,0,2,2015,2014@2015
over 70,Male,Full,Comprehensive,34778258.7,72275.68997,12003549,14277268,26280817,3646,32,2,2015,2014@2015
over 70,Male,Provisional,Comprehensive,215243.5,323.70225,32745,0,32745,10,0,2,2015,2014@2015
17 to 20,Female,Full,ThirdPartyFireTheft,1678600.2,1703.650585,264075,702115,966190,73,0,2,2015,2014@2015
17 to 20,Female,Provisional,ThirdPartyFireTheft,2066740.7,1377.956532,236667,754518,991185,83,3,2,2015,2014@2015
17 to 20,Male,Full,ThirdPartyFireTheft,3017361.6,2620.806442,654695,1068592,1723287,139,2,2,2015,2014@2015
17 to 20,Male,Provisional,ThirdPartyFireTheft,2279892.9,1316.940043,704869,834595,1539464,117,3,2,2015,2014@2015
21 to 24,Female,Full,ThirdPartyFireTheft,6780549.4,10096.67907,1702952,1829996,3532948,428,4,2,2015,2014@2015
21 to 24,Female,Provisional,ThirdPartyFireTheft,5632454.3,5282.814919,1239745,1155315,2395060,304,0,2,2015,2014@2015
21 to 24,Male,Full,ThirdPartyFireTheft,10971102.7,14080.37643,2992412,3513059,6505471,655,9,2,2015,2014@2015
21 to 24,Male,Provisional,ThirdPartyFireTheft,4389731.2,3597.145226,993738,2703493,3697231,264,6,2,2015,2014@2015
25 to 30,Female,Full,ThirdPartyFireTheft,8197930.3,16169.99936,1951848,2514994,4466842,692,3,2,2015,2014@2015
25 to 30,Female,Provisional,ThirdPartyFireTheft,5080712,6091.290327,1187121,1449240,2636361,338,7,2,2015,2014@2015
25 to 30,Male,Full,ThirdPartyFireTheft,12633753.5,21651.65584,4570254,7699184,12269438,925,19,2,2015,2014@2015
25 to 30,Male,Provisional,ThirdPartyFireTheft,4830956.4,4799.50326,1306143,1510177,2816320,329,4,2,2015,2014@2015
31 to 50,Female,Full,ThirdPartyFireTheft,16414996.5,37043.69942,4059350,6842309,10901659,1318,11,2,2015,2014@2015
31 to 50,Female,Provisional,ThirdPartyFireTheft,5133093.8,7699.293431,1204704,1766020,2970724,396,7,2,2015,2014@2015
31 to 50,Male,Full,ThirdPartyFireTheft,26850422.1,58302.95904,8006532,12195795,20202327,2007,34,2,2015,2014@2015
31 to 50,Male,Provisional,ThirdPartyFireTheft,4775943.5,6100.036345,1216531,1956592,3173123,312,6,2,2015,2014@2015
51 to 70,Female,Full,ThirdPartyFireTheft,7702630.6,18328.79268,1505472,2338602,3844074,479,7,2,2015,2014@2015
51 to 70,Female,Provisional,ThirdPartyFireTheft,1110495.1,2258.675282,240562,446080,686642,82,1,2,2015,2014@2015
51 to 70,Male,Full,ThirdPartyFireTheft,14374306.3,34340.49766,3746883,6328462,10075345,878,15,2,2015,2014@2015
51 to 70,Male,Provisional,ThirdPartyFireTheft,915136.3,1616.057693,127835,405281,533116,47,1,2,2015,2014@2015
over 70,Female,Full,ThirdPartyFireTheft,2431957.7,5905.927262,608342,1300058,1908400,176,4,2,2015,2014@2015
over 70,Female,Provisional,ThirdPartyFireTheft,199099.1,367.224106,7730,0,7730,7,0,2,2015,2014@2015
over 70,Male,Full,ThirdPartyFireTheft,5680442.7,13409.41214,1699734,2329659,4029393,389,5,2,2015,2014@2015
over 70,Male,Provisional,ThirdPartyFireTheft,150535.8,253.590213,30517,0,30517,8,0,2,2015,2014@2015
17 to 20,Female,Full,ThirdPartyOnly,47313.9,51.915313,1548,0,1548,1,0,2,2015,2014@2015
17 to 20,Female,Provisional,ThirdPartyOnly,62504.5,44.292364,6419,0,6419,1,0,2,2015,2014@2015
17 to 20,Male,Full,ThirdPartyOnly,156830.6,131.114784,32170,222804,254974,6,2,2,2015,2014@2015
17 to 20,Male,Provisional,ThirdPartyOnly,163797,79.453566,14052,0,14052,6,0,2,2015,2014@2015
21 to 24,Female,Full,ThirdPartyOnly,256678.1,358.770565,4944,0,4944,8,0,2,2015,2014@2015
21 to 24,Female,Provisional,ThirdPartyOnly,188494.3,145.256854,105867,98581,204448,9,0,2,2015,2014@2015
21 to 24,Male,Full,ThirdPartyOnly,607555,781.90725,124544,372491,497035,24,2,2,2015,2014@2015
21 to 24,Male,Provisional,ThirdPartyOnly,270569.5,185.467229,222978,141595,364573,35,1,2,2015,2014@2015
25 to 30,Female,Full,ThirdPartyOnly,419440,813.915464,238616,188071,426687,30,1,2,2015,2014@2015
25 to 30,Female,Provisional,ThirdPartyOnly,165721.9,153.472701,11181,51632,62813,10,0,2,2015,2014@2015
25 to 30,Male,Full,ThirdPartyOnly,1088975.6,1944.049504,221823,1137770,1359593,73,5,2,2015,2014@2015
25 to 30,Male,Provisional,ThirdPartyOnly,281939.3,237.699481,141835,17659,159494,18,0,2,2015,2014@2015
31 to 50,Female,Full,ThirdPartyOnly,1055597.3,2641.23273,455730,459694,915424,94,3,2,2015,2014@2015
31 to 50,Female,Provisional,ThirdPartyOnly,198077.8,254.423541,21702,0,21702,11,0,2,2015,2014@2015
31 to 50,Male,Full,ThirdPartyOnly,2754913.4,6963.334629,791476,847775,1639251,177,2,2,2015,2014@2015
31 to 50,Male,Provisional,ThirdPartyOnly,302013,333.524636,76896,131041,207937,17,0,2,2015,2014@2015
51 to 70,Female,Full,ThirdPartyOnly,474345.7,1269.519393,150249,267908,418157,16,2,2,2015,2014@2015
51 to 70,Female,Provisional,ThirdPartyOnly,40588.2,73.352474,12733,0,12733,6,0,2,2015,2014@2015
51 to 70,Male,Full,ThirdPartyOnly,1618880.2,4197.93529,527326,719832,1247158,76,3,2,2015,2014@2015
51 to 70,Male,Provisional,ThirdPartyOnly,87853.5,148.565606,4025,0,4025,2,0,2,2015,2014@2015
over 70,Female,Full,ThirdPartyOnly,175754.7,432.382597,87455,23931,111386,26,0,2,2015,2014@2015
over 70,Female,Provisional,ThirdPartyOnly,12007.3,19.699459,0,0,0,0,0,2,2015,2014@2015
over 70,Male,Full,ThirdPartyOnly,570651.3,1404.494827,204385,339536,543921,41,0,2,2015,2014@2015
over 70,Male,Provisional,ThirdPartyOnly,15402.8,22.177601,1263,0,1263,1,0,2,2015,2014@2015
17 to 20,Female,Full,All,5643208.3,4076.667295,393708,1326966,1720674,174,4,1,2015,2015@2015
17 to 20,Female,Provisional,All,5080497.7,2535.011319,310704,787273,1097977,88,0,1,2015,2015@2015
17 to 20,Male,Full,All,10690298.8,6158.273954,919226,2523454,3442680,324,4,1,2015,2015@2015
17 to 20,Male,Provisional,All,6012607,2502.273587,427603,954368,1381971,149,1,1,2015,2015@2015
21 to 24,Female,Full,All,22741128.4,28612.15752,2966381,5051439,8017820,1094,6,1,2015,2015@2015
21 to 24,Female,Provisional,All,10829301.6,8552.487729,956461,2164850,3121311,390,3,1,2015,2015@2015
21 to 24,Male,Full,All,27305365.1,28853.33232,3784556,8007268,11791824,1272,9,1,2015,2015@2015
21 to 24,Male,Provisional,All,8630977.1,5671.97338,841279,2736617,3577896,363,3,1,2015,2015@2015
25 to 30,Female,Full,All,48674075.6,85842.3011,8009488,14405951,22415439,3656,13,1,2015,2015@2015
25 to 30,Female,Provisional,All,11271808,12015.34351,940522,3827730,4768252,633,6,1,2015,2015@2015
25 to 30,Male,Full,All,44280257.7,66311.11737,7464196,17177230,24641426,2886,28,1,2015,2015@2015
25 to 30,Male,Provisional,All,8376659.6,7518.441028,835556,3396808,4232364,469,9,1,2015,2015@2015
31 to 50,Female,Full,All,193408477.7,420379.9901,39243130,57496663,96739793,19261,54,1,2015,2015@2015
31 to 50,Female,Provisional,All,16941207,23028.47397,1744964,3612370,5357334,1225,2,1,2015,2015@2015
31 to 50,Male,Full,All,171933714.1,343350.4826,34101147,59284816,93385963,15457,64,1,2015,2015@2015
31 to 50,Male,Provisional,All,11763457.9,14511.05982,1545752,2978483,4524235,860,2,1,2015,2015@2015
51 to 70,Female,Full,All,113747048.3,261530.7607,20687921,29049404,49737325,10273,30,1,2015,2015@2015
51 to 70,Female,Provisional,All,5297305.6,8529.356826,559200,933812,1493012,338,0,1,2015,2015@2015
51 to 70,Male,Full,All,126092895.7,276099.5999,22883682,56924447,79808129,10203,56,1,2015,2015@2015
51 to 70,Male,Provisional,All,3198777.2,4804.910731,387730,1299745,1687475,180,2,1,2015,2015@2015
over 70,Female,Full,All,29158056.9,59789.39643,5426544,10183283,15609827,2526,17,1,2015,2015@2015
over 70,Female,Provisional,All,791776.1,1215.355417,72383,102280,174663,48,0,1,2015,2015@2015
over 70,Male,Full,All,46567413.2,90867.69473,8927543,15028434,23955977,3762,16,1,2015,2015@2015
over 70,Male,Provisional,All,488887,733.079372,53518,183252,236770,28,0,1,2015,2015@2015
17 to 20,Female,Full,Comprehensive,2475895.6,1975.358276,238412,538864,777276,84,2,1,2015,2015@2015
17 to 20,Female,Provisional,Comprehensive,1926983.9,1084.287051,110817,146945,257762,29,0,1,2015,2015@2015
17 to 20,Male,Full,Comprehensive,3067585.8,2209.942979,335734,1122442,1458176,106,4,1,2015,2015@2015
17 to 20,Male,Provisional,Comprehensive,1562592.3,799.814345,91997,143298,235295,39,0,1,2015,2015@2015
21 to 24,Female,Full,Comprehensive,14135131.6,18007.41004,2193657,3044872,5238529,772,3,1,2015,2015@2015
21 to 24,Female,Provisional,Comprehensive,4538416.1,3725.915912,470232,978651,1448883,177,1,1,2015,2015@2015
21 to 24,Male,Full,Comprehensive,12323663.5,13473.58421,2146325,3819247,5965572,677,2,1,2015,2015@2015
21 to 24,Male,Provisional,Comprehensive,2371427.5,1748.90737,284557,636375,920932,126,1,1,2015,2015@2015
25 to 30,Female,Full,Comprehensive,39342280.2,70099.40796,7087525,11901896,18989421,3132,11,1,2015,2015@2015
25 to 30,Female,Provisional,Comprehensive,6159275.9,6749.124113,613391,1550591,2163982,397,0,1,2015,2015@2015
25 to 30,Male,Full,Comprehensive,29397016.5,44727.54848,5745802,12522907,18268709,2182,23,1,2015,2015@2015
25 to 30,Male,Provisional,Comprehensive,3342501.2,3183.451329,470053,1610239,2080292,259,3,1,2015,2015@2015
31 to 50,Female,Full,Comprehensive,174450432,382381.0166,37101232,51512955,88614187,18139,44,1,2015,2015@2015
31 to 50,Female,Provisional,Comprehensive,11607354.4,16026.83068,1364195,2618357,3982552,955,2,1,2015,2015@2015
31 to 50,Male,Full,Comprehensive,139775002.2,282429.7594,30376506,46871536,77248042,13623,50,1,2015,2015@2015
31 to 50,Male,Provisional,Comprehensive,6713404.7,8654.93591,1029876,1863138,2893014,599,2,1,2015,2015@2015
51 to 70,Female,Full,Comprehensive,104736106.4,242144.1861,19945111,26628464,46573575,9850,29,1,2015,2015@2015
51 to 70,Female,Provisional,Comprehensive,4067019.1,6424.875562,469303,649962,1119265,280,0,1,2015,2015@2015
51 to 70,Male,Full,Comprehensive,108767742.5,239370.8964,20358457,51471555,71830012,9441,50,1,2015,2015@2015
51 to 70,Male,Provisional,Comprehensive,2058123.3,3030.325684,269579,527641,797220,135,0,1,2015,2015@2015
over 70,Female,Full,Comprehensive,26179438.6,53306.86245,5204518,9198330,14402848,2375,15,1,2015,2015@2015
over 70,Female,Provisional,Comprehensive,563906.5,841.778847,50460,84005,134465,36,0,1,2015,2015@2015
over 70,Male,Full,Comprehensive,39693303.5,76351.88051,8183759,12182852,20366611,3429,13,1,2015,2015@2015
over 70,Male,Provisional,Comprehensive,300626.4,444.172209,52797,90730,143527,24,0,1,2015,2015@2015
17 to 20,Female,Full,ThirdPartyFireTheft,2969791.2,2027.38006,151624,770701,922325,87,2,1,2015,2015@2015
17 to 20,Female,Provisional,ThirdPartyFireTheft,3006858.1,1408.53028,198990,639127,838117,57,1,1,2015,2015@2015
17 to 20,Male,Full,ThirdPartyFireTheft,6831959.3,3707.814584,573592,1349418,1923010,206,0,1,2015,2015@2015
17 to 20,Male,Provisional,ThirdPartyFireTheft,3923066.9,1584.265249,310261,794169,1104430,104,0,1,2015,2015@2015
21 to 24,Female,Full,ThirdPartyFireTheft,8323283.1,10355.51794,750942,1898824,2649766,313,3,1,2015,2015@2015
21 to 24,Female,Provisional,ThirdPartyFireTheft,6054461.6,4706.112786,474557,1068499,1543056,210,1,1,2015,2015@2015
21 to 24,Male,Full,ThirdPartyFireTheft,14153127.5,14759.23437,1590465,4013632,5604097,564,7,1,2015,2015@2015
21 to 24,Male,Provisional,ThirdPartyFireTheft,5819423,3726.552346,536740,1910220,2446960,221,2,1,2015,2015@2015
25 to 30,Female,Full,ThirdPartyFireTheft,8983516.8,15252.30286,836044,2430139,3266183,502,2,1,2015,2015@2015
25 to 30,Female,Provisional,ThirdPartyFireTheft,4979254.5,5166.692063,314228,2249739,2563967,229,5,1,2015,2015@2015
25 to 30,Male,Full,ThirdPartyFireTheft,13923135.2,20377.00033,1569327,4309800,5879127,646,5,1,2015,2015@2015
25 to 30,Male,Provisional,ThirdPartyFireTheft,4821696.9,4200.380394,318688,1634965,1953653,201,5,1,2015,2015@2015
31 to 50,Female,Full,ThirdPartyFireTheft,17966245.7,36175.15884,2059538,5830817,7890355,1080,10,1,2015,2015@2015
31 to 50,Female,Provisional,ThirdPartyFireTheft,5144890.9,6798.692425,369475,981522,1350997,260,0,1,2015,2015@2015
31 to 50,Male,Full,ThirdPartyFireTheft,29473487,55940.85871,3504802,10991696,14496498,1688,11,1,2015,2015@2015
31 to 50,Male,Provisional,ThirdPartyFireTheft,4781529.5,5628.735899,510911,1100444,1611355,255,0,1,2015,2015@2015
51 to 70,Female,Full,ThirdPartyFireTheft,8531523.9,18365.59344,728469,2289585,3018054,407,1,1,2015,2015@2015
51 to 70,Female,Provisional,ThirdPartyFireTheft,1191906.8,2044.896552,83944,283850,367794,53,0,1,2015,2015@2015
51 to 70,Male,Full,ThirdPartyFireTheft,15712146.8,33271.32841,2382573,5133145,7515718,717,6,1,2015,2015@2015
51 to 70,Male,Provisional,ThirdPartyFireTheft,1059044.5,1657.128736,111856,737604,849460,44,2,1,2015,2015@2015
over 70,Female,Full,ThirdPartyFireTheft,2783321.7,6077.121312,211831,941620,1153451,142,2,1,2015,2015@2015
over 70,Female,Provisional,ThirdPartyFireTheft,219063.7,361.51919,21923,18275,40198,12,0,1,2015,2015@2015
over 70,Male,Full,ThirdPartyFireTheft,6263868.7,13235.22653,654766,2551993,3206759,292,2,1,2015,2015@2015
over 70,Male,Provisional,ThirdPartyFireTheft,170630.9,268.93448,721,92522,93243,4,0,1,2015,2015@2015
17 to 20,Female,Full,ThirdPartyOnly,197521.5,73.928959,3672,17401,21073,3,0,1,2015,2015@2015
17 to 20,Female,Provisional,ThirdPartyOnly,146655.7,42.193988,897,1201,2098,2,0,1,2015,2015@2015
17 to 20,Male,Full,ThirdPartyOnly,790753.7,240.516391,9900,51594,61494,12,0,1,2015,2015@2015
17 to 20,Male,Provisional,ThirdPartyOnly,526947.8,118.193993,25345,16901,42246,6,0,1,2015,2015@2015
21 to 24,Female,Full,ThirdPartyOnly,282713.7,249.22954,21782,107743,129525,9,0,1,2015,2015@2015
21 to 24,Female,Provisional,ThirdPartyOnly,236423.9,120.459031,11672,117700,129372,3,0,1,2015,2015@2015
21 to 24,Male,Full,ThirdPartyOnly,828574.1,620.513743,47766,174389,222155,31,0,1,2015,2015@2015
21 to 24,Male,Provisional,ThirdPartyOnly,440126.6,196.513664,19982,190022,210004,16,0,1,2015,2015@2015
25 to 30,Female,Full,ThirdPartyOnly,348278.6,490.590277,85919,73916,159835,22,0,1,2015,2015@2015
25 to 30,Female,Provisional,ThirdPartyOnly,133277.6,99.527332,12903,27400,40303,7,0,1,2015,2015@2015
25 to 30,Male,Full,ThirdPartyOnly,960106,1206.568565,149067,344523,493590,58,0,1,2015,2015@2015
25 to 30,Male,Provisional,ThirdPartyOnly,212461.5,134.609305,46815,151604,198419,9,1,1,2015,2015@2015
31 to 50,Female,Full,ThirdPartyOnly,991800,1823.814624,82360,152891,235251,42,0,1,2015,2015@2015
31 to 50,Female,Provisional,ThirdPartyOnly,188961.7,202.950862,11294,12491,23785,10,0,1,2015,2015@2015
31 to 50,Male,Full,ThirdPartyOnly,2685224.9,4979.864536,219839,1421584,1641423,146,3,1,2015,2015@2015
31 to 50,Male,Provisional,ThirdPartyOnly,268523.7,227.388015,4965,14901,19866,6,0,1,2015,2015@2015
51 to 70,Female,Full,ThirdPartyOnly,479418,1020.981105,14341,131355,145696,16,0,1,2015,2015@2015
51 to 70,Female,Provisional,ThirdPartyOnly,38379.7,59.584712,5953,0,5953,5,0,1,2015,2015@2015
51 to 70,Male,Full,ThirdPartyOnly,1613006.4,3457.37511,142652,319747,462399,45,0,1,2015,2015@2015
51 to 70,Male,Provisional,ThirdPartyOnly,81609.4,117.456311,6295,34500,40795,3,0,1,2015,2015@2015
over 70,Female,Full,ThirdPartyOnly,195296.6,405.412659,10195,43333,53528,9,0,1,2015,2015@2015
over 70,Female,Provisional,ThirdPartyOnly,8805.9,12.05738,0,0,0,0,0,1,2015,2015@2015
